id,name,population,state,state_id
2424,Walworth,5587,South Dakota,42
2425,Yankton,22869,South Dakota,42
2426,Ziebach,2742,South Dakota,42
2427,Anderson,76482,Tennessee,43
2428,Bedford,49038,Tennessee,43
2429,Benton,16184,Tennessee,43
2430,Bledsoe,14755,Tennessee,43
2431,Blount,131349,Tennessee,43
2432,Bradley,106727,Tennessee,43
2433,Campbell,39583,Tennessee,43
2434,Cannon,14462,Tennessee,43
2435,Carroll,28020,Tennessee,43
2436,Carter,56351,Tennessee,43
2437,Cheatham,40439,Tennessee,43
2438,Chester,17276,Tennessee,43
2439,Claiborne,31756,Tennessee,43
2440,Clay,7717,Tennessee,43
2441,Cocke,35774,Tennessee,43
2442,Coffee,55700,Tennessee,43
2443,Crockett,14328,Tennessee,43
2444,Cumberland,59673,Tennessee,43
2445,Davidson,692587,Tennessee,43
2446,Decatur,11706,Tennessee,43
2447,DeKalb,20138,Tennessee,43
2448,Dickson,53446,Tennessee,43
2449,Dyer,37320,Tennessee,43
2450,Fayette,40507,Tennessee,43
2451,Fentress,18217,Tennessee,43
2452,Franklin,41890,Tennessee,43
2453,Gibson,49045,Tennessee,43
2454,Giles,29503,Tennessee,43
2455,Grainger,23145,Tennessee,43
2456,Greene,69087,Tennessee,43
2457,Grundy,13346,Tennessee,43
2458,Hamblen,64569,Tennessee,43
2459,Hamilton,364286,Tennessee,43
2460,Hancock,6549,Tennessee,43
2461,Hardeman,25220,Tennessee,43
2462,Hardin,25776,Tennessee,43
2463,Hawkins,56530,Tennessee,43
2464,Haywood,17335,Tennessee,43
2465,Henderson,27847,Tennessee,43
2466,Henry,32358,Tennessee,43
2467,Hickman,25063,Tennessee,43
2468,Houston,8263,Tennessee,43
2469,Humphreys,18486,Tennessee,43
2470,Jackson,11758,Tennessee,43
2471,Jefferson,54012,Tennessee,43
2472,Johnson,17778,Tennessee,43
2473,Knox,465289,Tennessee,43
2474,Lake,7411,Tennessee,43
2475,Lauderdale,25825,Tennessee,43
2476,Lawrence,43734,Tennessee,43
2477,Lewis,12086,Tennessee,43
